VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
1940,BOOMTOWNRENO1,PLATC,Platinum Center,1,A,LightSilver,Left
1940,BOOMTOWNRENO1,PLATR,Platinum Right,1,A,LightSilver,Left
1940,BOOMTOWNRENO1,PLATL,Platinum Left,1,A,LightSilver,Left
1940,BOOMTOWNRENO1,GOLDC,Gold Center,1,A,Gold,Left
1940,BOOMTOWNRENO1,GOLDR,Gold Right,1,A,Gold,Left
1940,BOOMTOWNRENO1,GOLDL,Gold Left,1,A,Gold,Left
1940,BOOMTOWNRENO1,SLVRC,Silver Center,1,A,Silver,Left
1940,BOOMTOWNRENO1,SLVRR,Silver Right,1,A,Silver,Left
1940,BOOMTOWNRENO1,SLVRL,Silver Left,1,A,Silver,Left
