VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,SECAA,J,1,277,A,1,10,10
1953,CULLENTHEATER1,SECAA,K,10,320,A,1,11,1
1953,CULLENTHEATER1,SECAA,K,9,319,A,0,11,2
1953,CULLENTHEATER1,SECAA,K,8,318,A,0,11,3
1953,CULLENTHEATER1,SECAA,K,7,317,A,0,11,4
1953,CULLENTHEATER1,SECAA,K,6,316,A,0,11,5
1953,CULLENTHEATER1,SECAA,K,5,315,A,0,11,6
1953,CULLENTHEATER1,SECAA,K,4,314,A,0,11,7
1953,CULLENTHEATER1,SECAA,K,3,313,A,0,11,8
1953,CULLENTHEATER1,SECAA,K,2,312,A,0,11,9
1953,CULLENTHEATER1,SECAA,K,1,311,A,1,11,10
1953,CULLENTHEATER1,SECAA,L,10,353,A,1,12,1
1953,CULLENTHEATER1,SECAA,L,9,351,A,0,12,2
1953,CULLENTHEATER1,SECAA,L,8,349,A,0,12,3
1953,CULLENTHEATER1,SECAA,L,7,347,A,0,12,4
1953,CULLENTHEATER1,SECAA,L,6,345,A,0,12,5
1953,CULLENTHEATER1,SECAA,L,5,343,A,0,12,6
1953,CULLENTHEATER1,SECAA,L,4,341,A,0,12,7
1953,CULLENTHEATER1,SECAA,L,3,339,A,0,12,8
1953,CULLENTHEATER1,SECAA,L,2,337,A,0,12,9
1953,CULLENTHEATER1,SECAA,L,1,335,A,1,12,10
1953,CULLENTHEATER1,SECAA,M,10,387,A,1,13,1
1953,CULLENTHEATER1,SECAA,M,9,385,A,0,13,2
1953,CULLENTHEATER1,SECAA,M,8,383,A,0,13,3
1953,CULLENTHEATER1,SECAA,M,7,381,A,0,13,4
1953,CULLENTHEATER1,SECAA,M,6,379,A,0,13,5
1953,CULLENTHEATER1,SECAA,M,5,377,A,0,13,6
1953,CULLENTHEATER1,SECAA,M,4,375,A,0,13,7
1953,CULLENTHEATER1,SECAA,M,3,373,A,0,13,8
1953,CULLENTHEATER1,SECAA,M,2,371,A,0,13,9
1953,CULLENTHEATER1,SECAA,M,1,369,A,1,13,10
1953,CULLENTHEATER1,SECAA,N,10,421,A,1,14,1
1953,CULLENTHEATER1,SECAA,N,9,419,A,0,14,2
1953,CULLENTHEATER1,SECAA,N,8,417,A,0,14,3
1953,CULLENTHEATER1,SECAA,N,7,415,A,0,14,4
1953,CULLENTHEATER1,SECAA,N,6,413,A,0,14,5
1953,CULLENTHEATER1,SECAA,N,5,411,A,0,14,6
1953,CULLENTHEATER1,SECAA,N,4,409,A,0,14,7
1953,CULLENTHEATER1,SECAA,N,3,407,A,0,14,8
1953,CULLENTHEATER1,SECAA,N,2,405,A,0,14,9
1953,CULLENTHEATER1,SECAA,N,1,403,A,1,14,10
1953,CULLENTHEATER1,SECAA,O,10,455,A,1,15,1
1953,CULLENTHEATER1,SECAA,O,9,453,A,0,15,2
1953,CULLENTHEATER1,SECAA,O,8,451,A,0,15,3
1953,CULLENTHEATER1,SECAA,O,7,449,A,0,15,4
1953,CULLENTHEATER1,SECAA,O,6,447,A,0,15,5
1953,CULLENTHEATER1,SECAA,O,5,445,A,0,15,6
1953,CULLENTHEATER1,SECAA,O,4,443,A,0,15,7
1953,CULLENTHEATER1,SECAA,O,3,441,A,0,15,8
1953,CULLENTHEATER1,SECAA,O,2,439,A,0,15,9
1953,CULLENTHEATER1,SECAA,O,1,437,A,1,15,10
1953,CULLENTHEATER1,SECAA,P,10,489,A,1,16,1
1953,CULLENTHEATER1,SECAA,P,9,487,A,0,16,2
1953,CULLENTHEATER1,SECAA,P,8,485,A,0,16,3
1953,CULLENTHEATER1,SECAA,P,7,483,A,0,16,4
1953,CULLENTHEATER1,SECAA,P,6,481,A,0,16,5
1953,CULLENTHEATER1,SECAA,P,5,479,A,0,16,6
1953,CULLENTHEATER1,SECAA,P,4,477,A,0,16,7
1953,CULLENTHEATER1,SECAA,P,3,475,A,0,16,8
1953,CULLENTHEATER1,SECAA,P,2,473,A,0,16,9
1953,CULLENTHEATER1,SECAA,P,1,471,A,1,16,10
1953,CULLENTHEATER1,SECAA,Q,10,523,A,1,17,1
1953,CULLENTHEATER1,SECAA,Q,9,521,A,0,17,2
1953,CULLENTHEATER1,SECAA,Q,8,519,A,0,17,3
1953,CULLENTHEATER1,SECAA,Q,7,517,A,0,17,4
1953,CULLENTHEATER1,SECAA,Q,6,515,A,0,17,5
1953,CULLENTHEATER1,SECAA,Q,5,513,A,0,17,6
1953,CULLENTHEATER1,SECAA,Q,4,511,A,0,17,7
1953,CULLENTHEATER1,SECAA,Q,3,509,A,0,17,8
1953,CULLENTHEATER1,SECAA,Q,2,507,A,0,17,9
1953,CULLENTHEATER1,SECAA,Q,1,505,A,1,17,10
1953,CULLENTHEATER1,SECAA,R,9,555,A,1,18,2
1953,CULLENTHEATER1,SECAA,R,8,553,A,0,18,3
1953,CULLENTHEATER1,SECAA,R,7,551,A,0,18,4
1953,CULLENTHEATER1,SECAA,R,6,549,A,0,18,5
1953,CULLENTHEATER1,SECAA,R,5,547,A,0,18,6
1953,CULLENTHEATER1,SECAA,R,4,545,A,0,18,7
1953,CULLENTHEATER1,SECAA,R,3,543,A,0,18,8
1953,CULLENTHEATER1,SECAA,R,2,541,A,0,18,9
