VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
825,KATHRINEMULLADYTHEATRE1,MAIN,Main,1,A,Gold,Center,,REC,"53,89,291,178",
825,KATHRINEMULLADYTHEATRE1,CENTER,Center,2,A,Blue,Center,,POLY,"19,88,50,88,51,180,292,180,293,84,327,87,327,180,314,178,316,335,302,336,303,457,271,456,270,473,73,474,71,457,37,455,37,336,25,336,26,178,18,178,16,86,24,87",
