VenueCode,TemplateName,Section,Row,Seat,Priority,Status,Aisle,RowSort,SeatSort
1833,MAHAIWE2,D, ,9,99,A,0,1,9
1833,MAHAIWE2,D, ,10,100,A,0,1,10
1833,MAHAIWE2,D, ,11,101,A,0,1,11
1833,MAHAIWE2,D, ,12,102,A,0,1,12
1833,MAHAIWE2,D, ,13,103,A,0,1,13
1833,MAHAIWE2,D, ,14,104,A,0,1,14
1833,MAHAIWE2,D, ,15,105,A,0,1,15
1833,MAHAIWE2,D, ,16,106,A,0,1,16
1833,MAHAIWE2,D, ,17,107,A,0,1,17
1833,MAHAIWE2,D, ,18,108,A,0,1,18
1833,MAHAIWE2,D, ,19,109,A,0,1,19
1833,MAHAIWE2,D, ,20,110,A,0,1,20
1833,MAHAIWE2,D, ,21,111,A,0,1,21
1833,MAHAIWE2,D, ,22,112,A,0,1,22
1833,MAHAIWE2,D, ,23,113,A,0,1,23
1833,MAHAIWE2,D, ,24,114,A,0,1,24
1833,MAHAIWE2,D, ,25,115,A,0,1,25
1833,MAHAIWE2,D, ,26,116,A,0,1,26
1833,MAHAIWE2,D, ,27,117,A,0,1,27
1833,MAHAIWE2,D, ,28,118,A,0,1,28
1833,MAHAIWE2,D, ,29,119,A,0,1,29
1833,MAHAIWE2,D, ,30,120,A,1,1,30
