VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2594,SCOTTISHRITECATHEDRAL1,LEFT,LEFT,1,A,BLUE,LEFT,,POLY,"101,63,101,339,10,339,11,78,40,54,82,54,83,63,83,63"
2594,SCOTTISHRITECATHEDRAL1,RIGHT,RIGHT,2,A,BLUE,LEFT,,POLY,"119,62,138,62,137,53,177,53,209,80,208,338,118,338,118,338"
