VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2202,PITTSBURGTHEATER4,FC,FLOOR CENTER,1,A,GOLD,CENTER,,RECT,"137,78,213,360"
2202,PITTSBURGTHEATER4,FLC,FLOOR LEFT CENTER,2,A,GOLD,CENTER,,RECT,"65,96,122,359"
2202,PITTSBURGTHEATER4,FL,FLOOR LEFT,4,A,GOLD,CENTER,,RECT,"13,122,51,359"
2202,PITTSBURGTHEATER4,FRC,FLOOR RIGHT CENTER,3,A,GOLD,CENTER,,RECT,"228,95,285,360"
2202,PITTSBURGTHEATER4,FR ,FLOOR RIGHT,5,A,GOLD,CENTER,,RECT,"300,123,337,359"
2202,PITTSBURGTHEATER4,BLC,BALCONY LEFT CENTER,6,A,BLUE,CENTER,,RECT,"96,394,169,475"
2202,PITTSBURGTHEATER4,BL ,BALCONY LEFT,8,A,BLUE,CENTER,,RECT,"9,393,84,475"
2202,PITTSBURGTHEATER4,BRC,BALCONY RIGHT CENTER,7,A,BLUE,CENTER,,RECT,"182,393,256,476"
2202,PITTSBURGTHEATER4,BR ,BALCONY RIGHT,9,A,BLUE,CENTER,,RECT,"269,395,342,475"
