VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1568,FAIRGROUNDSPARK1,RSE,RINGSIDE EAST VIP,1,A,GOLD,LEFT,,RECT,"156,97,257,123"
1568,FAIRGROUNDSPARK1,RSW,RINGSIDE WEST VIP,2,A,GOLD,LEFT,,RECT,"283,149,309,251"
1568,FAIRGROUNDSPARK1,RSN,RINGSIDE NORTH VIP,3,A,GOLD,LEFT,,RECT,"155,277,258,304"
1568,FAIRGROUNDSPARK1,RSS,RINGSIDE SOUTH VIP,4,A,GOLD,LEFT,,RECT,"105,150,130,253"
1568,FAIRGROUNDSPARK1,GAD,GENERAL ADMISSION,5,A,BLUE,LEFT,general,RECT,"257,96,156,96,156,16,258,17,258,95,310,150,391,150,391,250,307,253,309,147,308,307,258,305,157,305,156,384,257,384,258,305,100,305,104,252,104,150,22,150,23,252,104,251,103,96,219,96,219,96"
