VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
413,CARLPERKINSCC2,TB001,Table 1,1,A,Gold,Left
413,CARLPERKINSCC2,TB002,Table 2,1,A,Gold,Left
413,CARLPERKINSCC2,TB003,Table 3,1,A,Gold,Left
413,CARLPERKINSCC2,TB004,Table 4,1,A,Gold,Left
413,CARLPERKINSCC2,TB005,Table 5,1,A,Gold,Left
413,CARLPERKINSCC2,TB006,Table 6,1,A,Gold,Left
413,CARLPERKINSCC2,TB007,Table 7,1,A,Gold,Left
413,CARLPERKINSCC2,TB008,Table 8,1,A,Gold,Left
413,CARLPERKINSCC2,TB009,Table 9,1,A,Gold,Left
413,CARLPERKINSCC2,TB010,Table 10,1,A,Gold,Left
413,CARLPERKINSCC2,TB011,Table 11,1,A,Gold,Left
413,CARLPERKINSCC2,TB012,Table 12,1,A,Gold,Left
413,CARLPERKINSCC2,TB013,Table 13,1,A,Gold,Left
413,CARLPERKINSCC2,TB014,Table 14,1,A,Gold,Left
413,CARLPERKINSCC2,TB015,Table 15,1,A,Gold,Left
413,CARLPERKINSCC2,TB016,Table 16,1,A,Gold,Left
413,CARLPERKINSCC2,TB017,Table 17,1,A,Gold,Left
413,CARLPERKINSCC2,TB018,Table 18,1,A,Gold,Left
413,CARLPERKINSCC2,TB019,Table 19,1,A,Gold,Left
413,CARLPERKINSCC2,TB020,Table 20,1,A,Gold,Left
413,CARLPERKINSCC2,TB021,Table 21,1,A,Gold,Left
413,CARLPERKINSCC2,TB022,Table 22,1,A,Gold,Left
413,CARLPERKINSCC2,TB023,Table 23,1,A,Gold,Left
413,CARLPERKINSCC2,TB024,Table 24,1,A,Gold,Left
413,CARLPERKINSCC2,TB025,Table 25,1,A,Gold,Left
413,CARLPERKINSCC2,TB026,Table 26,1,A,Gold,Left
413,CARLPERKINSCC2,TB027,Table 27,1,A,Gold,Left
413,CARLPERKINSCC2,TB028,Table 28,1,A,Gold,Left
413,CARLPERKINSCC2,TB029,Table 29,1,A,Gold,Left
413,CARLPERKINSCC2,TB030,Table 30,1,A,Gold,Left
413,CARLPERKINSCC2,TB031,Table 31,1,A,Gold,Left
413,CARLPERKINSCC2,TB032,Table 32,1,A,Gold,Left
413,CARLPERKINSCC2,TB033,Table 33,1,A,Gold,Left
413,CARLPERKINSCC2,TB034,Table 34,1,A,Gold,Left
413,CARLPERKINSCC2,TB035,Table 35,1,A,Gold,Left
413,CARLPERKINSCC2,TB036,Table 36,1,A,Gold,Left
413,CARLPERKINSCC2,TB037,Table 37,1,A,Gold,Left
413,CARLPERKINSCC2,TB038,Table 38,1,A,Gold,Left
413,CARLPERKINSCC2,TB039,Table 39,1,A,Gold,Left
413,CARLPERKINSCC2,TB040,Table 40,1,A,Gold,Left
413,CARLPERKINSCC2,TB041,Table 41,1,A,Gold,Left
413,CARLPERKINSCC2,TB042,Table 42,1,A,Gold,Left
413,CARLPERKINSCC2,TB043,Table 43,1,A,Gold,Left
413,CARLPERKINSCC2,TB044,Table 44,1,A,Gold,Left
413,CARLPERKINSCC2,TB045,Table 45,1,A,Gold,Left
413,CARLPERKINSCC2,TB046,Table 46,1,A,Gold,Left
413,CARLPERKINSCC2,TB047,Table 47,1,A,Gold,Left
413,CARLPERKINSCC2,TB048,Table 48,1,A,Gold,Left
413,CARLPERKINSCC2,TB049,Table 49,1,A,Gold,Left
413,CARLPERKINSCC2,TB050,Table 50,1,A,Gold,Left
413,CARLPERKINSCC2,TB051,Table 51,1,A,Gold,Left
413,CARLPERKINSCC2,TB052,Table 52,1,A,Gold,Left
413,CARLPERKINSCC2,TB053,Table 53,1,A,Gold,Left
413,CARLPERKINSCC2,TB054,Table 54,1,A,Gold,Left
413,CARLPERKINSCC2,TB055,Table 55,1,A,Gold,Left
413,CARLPERKINSCC2,TB056,Table 56,1,A,Gold,Left
413,CARLPERKINSCC2,TB057,Table 57,1,A,Gold,Left
413,CARLPERKINSCC2,TB058,Table 58,1,A,Gold,Left
