VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType
761,NAIABANQUET1,HDTBL,Head Table,1,A,Gold,Left,
761,NAIABANQUET1,T001,Table 1,1,A,Gold,Left,
761,NAIABANQUET1,T002,Table 2,1,A,Gold,Left,
761,NAIABANQUET1,T003,Table 3,1,A,Gold,Left,
761,NAIABANQUET1,T004,Table 4,1,A,Gold,Left,
761,NAIABANQUET1,T005,Table 5,1,A,Gold,Left,
761,NAIABANQUET1,T006,Table 6,1,A,Gold,Left,
761,NAIABANQUET1,T007,Table 7,1,A,Gold,Left,
761,NAIABANQUET1,T008,Table 8,1,A,Gold,Left,
761,NAIABANQUET1,T009,Table 9,1,A,Gold,Left,
761,NAIABANQUET1,T010,Table 10,1,A,Gold,Left,
761,NAIABANQUET1,T011,Table 11,1,A,Gold,Left,
761,NAIABANQUET1,T012,Table 12,1,A,Gold,Left,
761,NAIABANQUET1,T013,Table 13,1,A,Gold,Left,
761,NAIABANQUET1,T013A,Table 13A,1,A,Gold,Left,
761,NAIABANQUET1,T014,Table 14,1,A,Gold,Left
761,NAIABANQUET1,T015,Table 15,1,A,Gold,Left
761,NAIABANQUET1,T016,Table 16,1,A,Gold,Left
761,NAIABANQUET1,T017,Table 17,1,A,Gold,Left
761,NAIABANQUET1,T018,Table 18,1,A,Gold,Left
761,NAIABANQUET1,T019,Table 19,1,A,Gold,Left
761,NAIABANQUET1,T020,Table 20,1,A,Gold,Left
761,NAIABANQUET1,T021,Table 21,1,A,Gold,Left
761,NAIABANQUET1,T022,Table 22,1,A,Gold,Left
761,NAIABANQUET1,T023,Table 23,1,A,Gold,Left
761,NAIABANQUET1,T024,Table 24,1,A,Gold,Left
761,NAIABANQUET1,T025,Table 25,1,A,Gold,Left
761,NAIABANQUET1,T026,Table 26,1,A,Gold,Left
761,NAIABANQUET1,T027,Table 27,1,A,Gold,Left
761,NAIABANQUET1,T028,Table 28,1,A,Gold,Left
761,NAIABANQUET1,T029,Table 29,1,A,Gold,Left
761,NAIABANQUET1,T030,Table 30,1,A,Gold,Left
761,NAIABANQUET1,T031,Table 31,1,A,Gold,Left
761,NAIABANQUET1,T032,Table 32,1,A,Gold,Left
761,NAIABANQUET1,T033,Table 33,1,A,Gold,Left
761,NAIABANQUET1,T034,Table 34,1,A,Gold,Left
761,NAIABANQUET1,T035,Table 35,1,A,Gold,Left
761,NAIABANQUET1,T036,Table 36,1,A,Gold,Left
761,NAIABANQUET1,T037,Table 37,1,A,Gold,Left
761,NAIABANQUET1,T038,Table 38,1,A,Gold,Left
761,NAIABANQUET1,T039,Table 39,1,A,Gold,Left
761,NAIABANQUET1,T040,Table 40,1,A,Gold,Left
761,NAIABANQUET1,T041,Table 41,1,A,Gold,Left
761,NAIABANQUET1,T042,Table 42,1,A,Gold,Left
761,NAIABANQUET1,T043,Table 43,1,A,Gold,Left
761,NAIABANQUET1,T044,Table 44,1,A,Gold,Left
761,NAIABANQUET1,T045,Table 45,1,A,Gold,Left
761,NAIABANQUET1,T046,Table 46,1,A,Gold,Left
761,NAIABANQUET1,T047,Table 47,1,A,Gold,Left
761,NAIABANQUET1,T048,Table 48,1,A,Gold,Left
761,NAIABANQUET1,T049,Table 49,1,A,Gold,Left
761,NAIABANQUET1,T050,Table 50,1,A,Gold,Left
761,NAIABANQUET1,T051,Table 51,1,A,Gold,Left
761,NAIABANQUET1,T052,Table 52,1,A,Gold,Left
761,NAIABANQUET1,T053,Table 53,1,A,Gold,Left
761,NAIABANQUET1,T054,Table 54,1,A,Gold,Left
761,NAIABANQUET1,T055,Table 55,1,A,Gold,Left
761,NAIABANQUET1,T056,Table 56,1,A,Gold,Left
761,NAIABANQUET1,T057,Table 57,1,A,Gold,Left
761,NAIABANQUET1,T058,Table 58,1,A,Gold,Left
761,NAIABANQUET1,T059,Table 59,1,A,Gold,Left
761,NAIABANQUET1,T060,Table 60,1,A,Gold,Left
761,NAIABANQUET1,T061,Table 61,1,A,Gold,Left
761,NAIABANQUET1,T062,Table 62,1,A,Gold,Left
761,NAIABANQUET1,T063,Table 63,1,A,Gold,Left
761,NAIABANQUET1,T064,Table 64,1,A,Gold,Left
761,NAIABANQUET1,T065,Table 65,1,A,Gold,Left
