VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
176,14THSTPLAYHOUSE1,LEFT,Left,2,A,Red,Left
176,14THSTPLAYHOUSE1,CENTER,Center,1,A,Red,Center
176,14THSTPLAYHOUSE1,RIGHT,Right,3,A,Red,Left
176,14THSTPLAYHOUSE1,ADAL,ADA Left,4,A,Red,Left
176,14THSTPLAYHOUSE1,ADAR,ADA Right,5,A,Red,Left
