VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
701,BudPark1,THUND,Thunder Alley,1,A,Gold,Left
701,BudPark1,SEC1,Section 1,2,A,Red,Left
701,BudPark1,SEC2,Section 2,3,A,Red,Left
701,BudPark1,ADA,ADA,4,A,ADABlack,Left
701,BudPark1,GA,General Admission,5,A,Green,Left
