VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,LTCTR,E,107,131,A,0,6,11
972,DANAAUDITORIUM1,LTCTR,E,105,129,A,0,6,12
972,DANAAUDITORIUM1,LTCTR,E,103,127,A,0,6,13
972,DANAAUDITORIUM1,LTCTR,E,101,125,A,1,6,14
972,DANAAUDITORIUM1,LTCTR,F,125,175,A,1,7,2
972,DANAAUDITORIUM1,LTCTR,F,123,173,A,0,7,3
972,DANAAUDITORIUM1,LTCTR,F,121,171,A,0,7,4
972,DANAAUDITORIUM1,LTCTR,F,119,169,A,0,7,5
972,DANAAUDITORIUM1,LTCTR,F,117,167,A,0,7,6
972,DANAAUDITORIUM1,LTCTR,F,115,165,A,0,7,7
972,DANAAUDITORIUM1,LTCTR,F,113,163,A,0,7,8
972,DANAAUDITORIUM1,LTCTR,F,111,161,A,0,7,9
972,DANAAUDITORIUM1,LTCTR,F,109,159,A,0,7,10
972,DANAAUDITORIUM1,LTCTR,F,107,157,A,0,7,11
972,DANAAUDITORIUM1,LTCTR,F,105,155,A,0,7,12
972,DANAAUDITORIUM1,LTCTR,F,103,153,A,0,7,13
972,DANAAUDITORIUM1,LTCTR,F,101,151,A,1,7,14
972,DANAAUDITORIUM1,LTCTR,G,125,201,A,1,8,2
972,DANAAUDITORIUM1,LTCTR,G,123,199,A,0,8,3
972,DANAAUDITORIUM1,LTCTR,G,121,197,A,0,8,4
972,DANAAUDITORIUM1,LTCTR,G,119,195,A,0,8,5
972,DANAAUDITORIUM1,LTCTR,G,117,193,A,0,8,6
972,DANAAUDITORIUM1,LTCTR,G,115,191,A,0,8,7
972,DANAAUDITORIUM1,LTCTR,G,113,189,A,0,8,8
972,DANAAUDITORIUM1,LTCTR,G,111,187,A,0,8,9
972,DANAAUDITORIUM1,LTCTR,G,109,185,A,0,8,10
972,DANAAUDITORIUM1,LTCTR,G,107,183,A,0,8,11
972,DANAAUDITORIUM1,LTCTR,G,105,181,A,0,8,12
972,DANAAUDITORIUM1,LTCTR,G,103,179,A,0,8,13
972,DANAAUDITORIUM1,LTCTR,G,101,177,A,1,8,14
972,DANAAUDITORIUM1,LTCTR,H,127,229,A,1,9,1
972,DANAAUDITORIUM1,LTCTR,H,125,227,A,0,9,2
972,DANAAUDITORIUM1,LTCTR,H,123,225,A,0,9,3
972,DANAAUDITORIUM1,LTCTR,H,121,223,A,0,9,4
972,DANAAUDITORIUM1,LTCTR,H,119,221,A,0,9,5
972,DANAAUDITORIUM1,LTCTR,H,117,219,A,0,9,6
972,DANAAUDITORIUM1,LTCTR,H,115,217,A,0,9,7
972,DANAAUDITORIUM1,LTCTR,H,113,215,A,0,9,8
