VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
799,CHRISTUNIVERSALTEMPLE1,B1F,Balcony 1 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B1R,Balcony 1 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B2F,Balcony 2 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B2R,Balcony 2 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B3F,Balcony 3 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B3R,Balcony 3 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B4F,Balcony 4 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B4R,Balcony 4 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B5F,Balcony 5 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B5R,Balcony 5 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B6F,Balcony 6 Front,1,A,Blue,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,B6R,Balcony 6 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,M1F,Main 1 Front,1,A,Blue,Right,,,,
799,CHRISTUNIVERSALTEMPLE1,M1R,Main 1 Rear,1,A,Green,Center,,,,
799,CHRISTUNIVERSALTEMPLE1,M2C,Main 2 Center,1,A,Blue,Left,,,,
799,CHRISTUNIVERSALTEMPLE1,M2F,Main 2 Front,1,A,Gold,Left
799,CHRISTUNIVERSALTEMPLE1,M2R,Main 2 Rear,1,A,Green,Left
799,CHRISTUNIVERSALTEMPLE1,M3C,Main 3 Center,1,A,Blue,Center
799,CHRISTUNIVERSALTEMPLE1,M3F,Main 3 Front,1,A,Gold,Center
799,CHRISTUNIVERSALTEMPLE1,M3R,Main 3 Rear,1,A,Green,Center
799,CHRISTUNIVERSALTEMPLE1,M4C,Main 4 Center,1,A,Blue,Right
799,CHRISTUNIVERSALTEMPLE1,M4F,Main 4 Front,1,A,Gold,Right
799,CHRISTUNIVERSALTEMPLE1,M4R,Main 4 Rear,1,A,Green,Right
799,CHRISTUNIVERSALTEMPLE1,M5F,Main 5 Front,1,A,Blue,Left
799,CHRISTUNIVERSALTEMPLE1,M5R,Main 5 Rear,1,A,Green,Left
