VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType
458,TIVOLITHEATRE2,VIP,VIP,1,A,Gold,Center,general
458,TIVOLITHEATRE2,GENRL,General Seating,1,A,Gold,Center,general
